APT,Airport
CAL,Callerton Parkway
BFT,Bankfoot Westbound
BFT,Bankfoot Eastbound
KSP,Kingston Park Eastbound
KSP,Kingston Park Westbound
FAW,Fawdon Eastbound
FAW,Fawdon Westbound
WBR,Wansbeck Road
RGC,Regent Centre
SGF,South Gosforth
ILF,Ilford Road
WJS,West Jesmond
JES,Jesmond
HAY,Haymarket
CEN,Central
GHD,Gateshead
GST,Gateshead Stadium
FEL,Felling
HTH,Heworth
PLW,Pelaw
FGT,Fellgate
BYW,Brockley Whins
EBO,East Boldon
SBN,Seaburn
SFC,Stadium of Light
MSP,St Peters
SUN,Sunderland
PLI,Park Lane
UNI,University
MLF,Millfield
PAL,Pallion
SHL,South Hylton
SJM,St James
MTS,Monument-MTS
MTW,Monument-MTW
BYK,Byker
WKG,Walkergate
WSD,Wallsend
HDR,Hadrian Road
HOW,Howdon Eastbound
HOW,Howdon Westbound
PCM,Percy Main
MWL,Meadow Well
NSH,North Shields
TYN,Tynemouth
CUL,Cullercoats
WTL,Whitley Bay
MSN,Monkseaton
WMN,West Monkseaton
SMR,Shiremoor Eastbound
SMR,Shiremoor Westbound
NPK,Northumberland Park
PMV,Palmersville
BTN,Benton
FEL,Felling
LBN,Longbenton
HEB,Hebburn Eastbound
HEB,Hebburn Westbound
JAR,Jarrow
BDE,Bede Eastbound
BDE,Bede Westbound
SMD,Simonside
TDK,Tyne Dock
CHI,Chichester
SSS,South Shields
CRD,Chillingham Road
MAN,Manors
FLE,Four Lane Ends
